job_title,company_name,company_location,job_nature,job_skills
Senior Data Analyst,Sceel.io -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyst · Analysis · BI · MySQL · SQL · Data Analysis · Data Analyst
Data Analyst,ITCan -,"Rehab City, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI
Export Data Analyst,Evyap Egypt -,"Sheraton, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Sales/Retail · excel · Analyst · Business Data · Data Analyst · Analysis
Data Analyst,The Address Investments for Real Estate Consultancy -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · analytical · business · Computer Science · Data · Data Analysis
Data Analyst,The Egyptian Microfinance Company- Maksab -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Computer Science · Data Analysis
Data Quality Analyst,The Address Investments for Real Estate Consultancy -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · Data · analytical · Communication skills · Data Analysis
"Business Analyst ""Data & AI""",Global Brands -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 2 - 3 Yrs of Exp · Business Development · Engineering - Telecom/Technology · analytical · BI · Business Analysis · Computer Science · Data Analysis · Power BI · Analysis · business
Business Analyst Supervisor,Cairo Three A Poultry -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 5 - 7 Yrs of Exp · Analyst/Research · Business Analysis · Data Analysis · ERP
Sr. Business/Sales Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced · 5 - 8 Yrs of Exp · Sales/Retail · Analysis · Business Analysis · Communication · ERP · excel · Sales · SQL · Data Analysis · SRS
Warehouse Data Analyst,Logistica -,"6th of October, Giza, Egypt ",Full Time,Experienced · 2 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · Analyst/Research · ERP · Data Analysis · Analysis · Supply Chain · Dashboards. · Data Warehousing · Warehouse Management System
Senior Sales Data Analyst,ElEzaby Autoparts  -,"6th of October, Giza, Egypt ",Full Time,Experienced · 6 - 7 Yrs of Exp · females_preferred · Analyst/Research · Sales/Retail · Analysis · Analyst · Data Analysis · Sales Analyst · Sales
Business Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · Administration · Analyst/Research · business · Business Analysis · Microfinance · Data · English · excel · Accounting
Senior Data Analyst (BI & DWH),Masary -,"Mokattam, Cairo, Egypt ",Full Time,Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Computer Science · BI · Data Warehouse · Oracle · SQL · ETL · SQL Server
Data Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · analytical · Commerce · BI · Communication skills · Computer Science · Data Analysis · Information Technology (IT)
Senior Business Analyst,intrazero -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · Business Development · Communication skills · Data Analysis · Information Technology (IT) · Analysis · analytical
Senior Data Analyst,Sceel.io -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyst · Analysis · BI · MySQL · SQL · Data Analysis · Data Analyst
Data Analyst,ITCan -,"Rehab City, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI
Export Data Analyst,Evyap Egypt -,"Sheraton, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Sales/Retail · excel · Analyst · Business Data · Data Analyst · Analysis
Data Analyst,The Address Investments for Real Estate Consultancy -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · analytical · business · Computer Science · Data · Data Analysis
Data Analyst,The Egyptian Microfinance Company- Maksab -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Computer Science · Data Analysis
Data Quality Analyst,The Address Investments for Real Estate Consultancy -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · Data · analytical · Communication skills · Data Analysis
"Business Analyst ""Data & AI""",Global Brands -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 2 - 3 Yrs of Exp · Business Development · Engineering - Telecom/Technology · analytical · BI · Business Analysis · Computer Science · Data Analysis · Power BI · Analysis · business
Business Analyst Supervisor,Cairo Three A Poultry -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 5 - 7 Yrs of Exp · Analyst/Research · Business Analysis · Data Analysis · ERP
Sr. Business/Sales Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced · 5 - 8 Yrs of Exp · Sales/Retail · Analysis · Business Analysis · Communication · ERP · excel · Sales · SQL · Data Analysis · SRS
Warehouse Data Analyst,Logistica -,"6th of October, Giza, Egypt ",Full Time,Experienced · 2 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · Analyst/Research · ERP · Data Analysis · Analysis · Supply Chain · Dashboards. · Data Warehousing · Warehouse Management System
Senior Sales Data Analyst,ElEzaby Autoparts  -,"6th of October, Giza, Egypt ",Full Time,Experienced · 6 - 7 Yrs of Exp · females_preferred · Analyst/Research · Sales/Retail · Analysis · Analyst · Data Analysis · Sales Analyst · Sales
Business Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · Administration · Analyst/Research · business · Business Analysis · Microfinance · Data · English · excel · Accounting
Senior Data Analyst (BI & DWH),Masary -,"Mokattam, Cairo, Egypt ",Full Time,Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Computer Science · BI · Data Warehouse · Oracle · SQL · ETL · SQL Server
Data Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · analytical · Commerce · BI · Communication skills · Computer Science · Data Analysis · Information Technology (IT)
Senior Business Analyst,intrazero -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · Business Development · Communication skills · Data Analysis · Information Technology (IT) · Analysis · analytical
Data Analyst (Fleet department),Seoudi Supermarket -,"Giza, Egypt ",Full Time,Entry Level · 2 - 3 Yrs of Exp · Operations/Management · Project/Program Management · Analyst/Research · Analyst · analytical · Data · Data Analyst · Finance · Data Analysis · Analysis
Data Analyst,Ejada  -,"Riyadh, Saudi Arabia ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Data Analysis · Data Analyst · Data · SQL · Statistics · Information Technology (IT)
Data Analyst - In KSA,Ejada  -,"Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Data Analysis · Data Analyst · Computer Science · SQL · Statistics
Senior Business Analyst,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analyst · Computer Science · Business Analysis · Information Technology (IT) · English · Data Analysis · Testing
